City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
317,touros,-5.1989,-35.4608,75.81,83,17,15.23,BR,1693884620
318,grantsville,40.5999,-112.4644,63.09,73,40,4.0,US,1693884620
319,posto fiscal rolim de moura,-13.0833,-62.2667,85.57,38,98,0.49,BR,1693884621
320,taltal,-25.4,-70.4833,63.34,56,16,2.04,CL,1693884620
321,awjilah,29.1081,21.2869,72.84,75,11,5.99,LY,1693884621
322,vernon,50.2581,-119.2691,69.75,56,71,1.14,CA,1693884369
323,aksu,41.1231,80.2644,76.93,19,14,0.34,CN,1693884621
324,nabire,-3.3667,135.4833,82.92,81,26,3.18,ID,1693884621
325,melekeok village,7.4957,134.6367,82.96,78,75,10.36,PW,1693884622
326,broome,42.2506,-75.833,74.35,86,0,1.01,US,1693884622
327,faya-largeau,17.9257,19.1043,89.85,15,1,4.36,TD,1693884622
328,abu jibeha,11.4562,31.2285,70.57,89,100,2.15,SD,1693884622
329,san pedro,14.35,121.0167,85.32,82,75,16.11,PH,1693884622
330,sharm el-sheikh,27.8518,34.305,84.79,46,0,8.34,EG,1693884622
331,fort-shevchenko,44.5086,50.263,76.68,36,6,16.93,KZ,1693884623
332,ayutla,20.1167,-104.3333,66.97,88,100,2.26,MX,1693884623
333,tanumah,27.1,44.1333,84.67,10,0,2.1,SA,1693884623
334,sitka,57.0531,-135.33,55.29,82,100,6.91,US,1693884581
335,remire-montjoly,4.9167,-52.2667,75.24,94,0,0.0,GF,1693884624
336,kone,-21.0595,164.8658,78.28,68,49,5.53,NC,1693884624
337,la passe,45.5549,-0.8967,71.83,50,1,6.96,FR,1693884624
338,taksimo,56.3444,114.8794,64.54,41,77,0.36,RU,1693884624
339,paola,39.3599,16.0396,61.92,70,10,9.19,IT,1693884625
340,nova olinda do norte,-3.8881,-59.0942,75.9,39,1,2.42,BR,1693884625
341,fortuna,40.5982,-124.1573,61.14,90,40,9.22,US,1693884625
342,dwarka,22.2394,68.9678,82.27,72,91,12.3,IN,1693884625
343,port moresby,-9.4431,147.1797,85.42,66,75,11.5,PG,1693884625
344,aykhal,66.0,111.5,34.5,83,97,15.08,RU,1693884625
345,rio grande,-32.035,-52.0986,50.95,85,100,23.24,BR,1693884626
346,nieuw amsterdam,5.8833,-55.0833,79.14,90,41,8.57,SR,1693884626
347,nantucket,41.2835,-70.0995,69.85,88,0,0.0,US,1693884626
348,kiunga,-6.1219,141.2906,84.49,62,98,4.03,PG,1693884626
349,mount pearl,47.5166,-52.7813,59.32,96,75,6.91,CA,1693884626
350,weno,7.4515,151.8468,84.15,84,100,6.91,FM,1693884627
351,san andres,12.5847,-81.7006,84.22,79,20,4.61,CO,1693884627
352,shirgaon,19.7,72.7,82.06,74,20,4.68,IN,1693884627
353,luderitz,-26.6481,15.1594,52.61,77,100,21.99,NA,1693884627
354,alegrete,-29.7831,-55.7919,49.26,91,28,10.13,BR,1693884627
355,rio rancho,35.2334,-106.6645,80.74,27,0,7.0,US,1693884433
356,axim,4.8699,-2.2405,75.36,89,100,7.9,GH,1693884628
357,beira,-19.8436,34.8389,68.09,100,20,4.61,MZ,1693884628
358,gryazi,52.4966,39.9359,61.9,74,94,5.61,RU,1693884628
359,linxia chengguanzhen,35.6003,103.2064,75.94,48,93,4.05,CN,1693884628
360,winnemucca,40.973,-117.7357,60.85,63,0,0.0,US,1693884517
